area_sub_area,community,sub_area,parent_area,depth,for_sale,to_rent,bayut_path
"Town Square","Town Square","(master)","",0,https://www.bayut.com/for-sale/property/dubai/town-square/,https://www.bayut.com/to-rent/property/dubai/town-square/,dubai/town-square
"Town Square - Hayat Townhouses","Town Square","Hayat Townhouses","",0,https://www.bayut.com/for-sale/property/dubai/town-square/hayat-townhouses/,https://www.bayut.com/to-rent/property/dubai/town-square/hayat-townhouses/,dubai/town-square/hayat-townhouses
"Town Square - Kaya","Town Square","Kaya","",0,https://www.bayut.com/for-sale/property/dubai/town-square/kaya/,https://www.bayut.com/to-rent/property/dubai/town-square/kaya/,dubai/town-square/kaya
"Town Square - Maha Townhouses","Town Square","Maha Townhouses","",0,https://www.bayut.com/for-sale/property/dubai/town-square/maha-townhouses/,https://www.bayut.com/to-rent/property/dubai/town-square/maha-townhouses/,dubai/town-square/maha-townhouses
"Town Square - Naseem Townhouses","Town Square","Naseem Townhouses","",0,https://www.bayut.com/for-sale/property/dubai/town-square/naseem-townhouses/,https://www.bayut.com/to-rent/property/dubai/town-square/naseem-townhouses/,dubai/town-square/naseem-townhouses
"Town Square - Noor Townhouses","Town Square","Noor Townhouses","",0,https://www.bayut.com/for-sale/property/dubai/town-square/noor-townhouses/,https://www.bayut.com/to-rent/property/dubai/town-square/noor-townhouses/,dubai/town-square/noor-townhouses
"Town Square - Reem Townhouses","Town Square","Reem Townhouses","",0,https://www.bayut.com/for-sale/property/dubai/town-square/reem-townhouses/,https://www.bayut.com/to-rent/property/dubai/town-square/reem-townhouses/,dubai/town-square/reem-townhouses
"Town Square - Safi Townhouses","Town Square","Safi Townhouses","",0,https://www.bayut.com/for-sale/property/dubai/town-square/safi-townhouses/,https://www.bayut.com/to-rent/property/dubai/town-square/safi-townhouses/,dubai/town-square/safi-townhouses
"Town Square - Sama Townhouses","Town Square","Sama Townhouses","",0,https://www.bayut.com/for-sale/property/dubai/town-square/sama-townhouses/,https://www.bayut.com/to-rent/property/dubai/town-square/sama-townhouses/,dubai/town-square/sama-townhouses
"Town Square - Shams Townhouses","Town Square","Shams Townhouses","",0,https://www.bayut.com/for-sale/property/dubai/town-square/shams-townhouses/,https://www.bayut.com/to-rent/property/dubai/town-square/shams-townhouses/,dubai/town-square/shams-townhouses
"Town Square - Zahra Townhouses","Town Square","Zahra Townhouses","",0,https://www.bayut.com/for-sale/property/dubai/town-square/zahra-townhouses/,https://www.bayut.com/to-rent/property/dubai/town-square/zahra-townhouses/,dubai/town-square/zahra-townhouses
"DAMAC Hills","DAMAC Hills","(master)","",0,https://www.bayut.com/for-sale/property/dubai/damac-hills/,https://www.bayut.com/to-rent/property/dubai/damac-hills/,dubai/damac-hills
"DAMAC Hills - Akoya Park","DAMAC Hills","Akoya Park","",0,https://www.bayut.com/for-sale/property/dubai/damac-hills/akoya-park/,https://www.bayut.com/to-rent/property/dubai/damac-hills/akoya-park/,dubai/damac-hills/akoya-park
"DAMAC Hills - Brookfield","DAMAC Hills","Brookfield","",0,https://www.bayut.com/for-sale/property/dubai/damac-hills/brookfield/,https://www.bayut.com/to-rent/property/dubai/damac-hills/brookfield/,dubai/damac-hills/brookfield
"DAMAC Hills - Calero","DAMAC Hills","Calero","",0,https://www.bayut.com/for-sale/property/dubai/damac-hills/calero/,https://www.bayut.com/to-rent/property/dubai/damac-hills/calero/,dubai/damac-hills/calero
"DAMAC Hills - Club Villas","DAMAC Hills","Club Villas","",0,https://www.bayut.com/for-sale/property/dubai/damac-hills/club-villas/,https://www.bayut.com/to-rent/property/dubai/damac-hills/club-villas/,dubai/damac-hills/club-villas
"DAMAC Hills - Green Acres","DAMAC Hills","Green Acres","",0,https://www.bayut.com/for-sale/property/dubai/damac-hills/green-acres/,https://www.bayut.com/to-rent/property/dubai/damac-hills/green-acres/,dubai/damac-hills/green-acres
"DAMAC Hills - Jasmine","DAMAC Hills","Jasmine","",0,https://www.bayut.com/for-sale/property/dubai/damac-hills/jasmine/,https://www.bayut.com/to-rent/property/dubai/damac-hills/jasmine/,dubai/damac-hills/jasmine
"DAMAC Hills - Orchid","DAMAC Hills","Orchid","",0,https://www.bayut.com/for-sale/property/dubai/damac-hills/orchid/,https://www.bayut.com/to-rent/property/dubai/damac-hills/orchid/,dubai/damac-hills/orchid
"DAMAC Hills - Park Residences 1","DAMAC Hills","Park Residences 1","",0,https://www.bayut.com/for-sale/property/dubai/damac-hills/park-residences-1/,https://www.bayut.com/to-rent/property/dubai/damac-hills/park-residences-1/,dubai/damac-hills/park-residences-1
"DAMAC Hills - Park Residences 4","DAMAC Hills","Park Residences 4","",0,https://www.bayut.com/for-sale/property/dubai/damac-hills/park-residences-4/,https://www.bayut.com/to-rent/property/dubai/damac-hills/park-residences-4/,dubai/damac-hills/park-residences-4
"DAMAC Hills - Pelham","DAMAC Hills","Pelham","",0,https://www.bayut.com/for-sale/property/dubai/damac-hills/pelham/,https://www.bayut.com/to-rent/property/dubai/damac-hills/pelham/,dubai/damac-hills/pelham
"DAMAC Hills - Picadilly Green","DAMAC Hills","Picadilly Green","",0,https://www.bayut.com/for-sale/property/dubai/damac-hills/picadilly-green/,https://www.bayut.com/to-rent/property/dubai/damac-hills/picadilly-green/,dubai/damac-hills/picadilly-green
"DAMAC Hills - Queens Meadows","DAMAC Hills","Queens Meadows","",0,https://www.bayut.com/for-sale/property/dubai/damac-hills/queens-meadows/,https://www.bayut.com/to-rent/property/dubai/damac-hills/queens-meadows/,dubai/damac-hills/queens-meadows
"DAMAC Hills - Richmond","DAMAC Hills","Richmond","",0,https://www.bayut.com/for-sale/property/dubai/damac-hills/richmond/,https://www.bayut.com/to-rent/property/dubai/damac-hills/richmond/,dubai/damac-hills/richmond
